sigma2_hat,L_contract,L_contract_lt_1,margin_to_1
0.0,0.72,True,0.28
0.007499999999999999,0.7213421223254809,True,0.2786578776745191
0.014999999999999998,0.7226686721100128,True,0.27733132788998716
0.022499999999999996,0.7239799188207647,True,0.27602008117923527
0.029999999999999995,0.7252761257434155,True,0.2747238742565845
0.03749999999999999,0.7265575501583948,True,0.27344244984160515
0.04499999999999999,0.7278244435111297,True,0.27217555648887026
0.05249999999999999,0.7290770515765295,True,0.27092294842347053
0.05999999999999999,0.7303156146179401,True,0.26968438538205985
0.06749999999999999,0.7315403675407804,True,0.26845963245921955
0.07499999999999998,0.7327515400410677,True,0.2672484599589323
0.08249999999999999,0.73394935674903,True,0.26605064325097005
0.08999999999999998,0.7351340373679934,True,0.26486596263200657
0.09749999999999999,0.7363057968087254,True,0.26369420319127457
0.10499999999999998,0.7374648453194054,True,0.26253515468059463
0.11249999999999999,0.7386113886113885,True,0.26138861138861147
0.11999999999999998,0.739745627980922,True,0.260254372019078
0.12749999999999997,0.7408677604269618,True,0.2591322395730382
0.13499999999999998,0.7419779787652379,True,0.25802202123476214
0.1425,0.7430764717387053,True,0.2569235282612947
0.14999999999999997,0.7441634241245136,True,0.25583657587548636
0.15749999999999997,0.7452390168376234,True,0.2547609831623766
0.16499999999999998,0.7463034270311898,True,0.2536965729688102
0.1725,0.7473568281938325,True,0.25264317180616747
0.17999999999999997,0.7483993902439025,True,0.25160060975609755
0.18749999999999997,0.7494312796208531,True,0.2505687203791469
0.19499999999999998,0.7504526593738212,True,0.24954734062617878
0.20249999999999996,0.7514636892475136,True,0.2485363107524864
0.20999999999999996,0.7524645257654966,True,0.2475354742345034
0.21749999999999997,0.753455322310979,True,0.246544677689021
0.22499999999999998,0.7544362292051756,True,0.2455637707948244
