t,delta_k,psi_damp,eta_eff,L_contract,V_t
0,0.5016498860856741,0.9999999985218793,0.04999999992609397,0.6567525170871489,1.970307840930717
1,0.49071163170091564,0.9999999974459399,0.049999999872297,0.6583932552448626,1.297335275031043
2,0.5010103012594928,0.9999999984738461,0.049999999923692307,0.656848454811076,0.8522922876140179
3,0.5137246163936252,0.9999999991918156,0.049999999959590785,0.6549413075409563,0.5586820004407608
4,0.4648641898884213,0.9999999906996101,0.04999999953498051,0.6622703715167367,0.3698679205699569
5,0.5336886320227902,0.9999999997021503,0.04999999998510751,0.6519467051965815,0.24140822943933427
6,0.49084314321472455,0.9999999974626794,0.04999999987313397,0.6583735285177913,0.15856777312206785
7,0.488071598107889,0.999999997085536,0.049999999854276805,0.6587892602838166,0.1046664445811373
8,0.4790606487543515,0.9999999954267076,0.04999999977133538,0.6601409026868472,0.0691499873402027
9,0.518635840455896,0.9999999993677853,0.04999999996838927,0.6542046239316156,0.04538981481542914
10,0.5134996096715921,0.9999999991826718,0.049999999959133595,0.6549750585492612,0.030014348488032336
11,0.5248888240360421,0.9999999995375308,0.04999999997687654,0.6532666763945937,0.020156712012161026
12,0.517861748444471,0.9999999993428359,0.0499999999671418,0.6543207377333293,0.013493442944826484
13,0.5052600988500776,0.999999998766,0.049999999938300003,0.6562109851724883,0.008662984973851698
14,0.5065703569709833,0.9999999988442518,0.049999999942212596,0.6560144464543525,0.0054024223820785455
15,0.5187048738814974,0.9999999993699638,0.04999999996849819,0.6541942689177753,0.003754943318809423
16,0.4824477401359666,0.999999996139183,0.049999999806959156,0.659632838979605,0.0025568949608845305
17,0.4990820782323019,0.9999999983193815,0.049999999915969075,0.6571376882651547,0.0017798261425177183
18,0.5076374348037049,0.9999999989042994,0.04999999994521497,0.6558543847794442,0.0008849092380956882
19,0.49094922051288387,0.9999999974761014,0.04999999987380507,0.6583576169230674,0.0005254811635750445
20,0.5144332976320625,0.9999999992199513,0.04999999996099757,0.6548350053551906,0.0002909295187946283
21,0.4929567318547605,0.9999999977171394,0.049999999885856974,0.6580564902217859,0.0
22,0.5134559404912031,0.9999999991808852,0.049999999959044264,0.6549816089263195,0.00012944319656622903
23,0.5028124658846224,0.9999999986053514,0.049999999930267575,0.6565781301173066,0.0001525323931799164
24,0.5092512136602049,0.9999999989892374,0.049999999949461874,0.6556123179509692,0.0
