VGS_SUPPLY	V(drain)	V(gate)	V(source)	I(VDD_SUPPLY)	I(VGS_SUPPLY)	I(VSB_SUPPLY)	Ib(M_DUT)	Id(M_DUT)	Ig(M_DUT)	Is(M_DUT)
Step Information: Temp=-40  (Step: 1/34)
3.200000000000000e-02	8.000000e-01	3.200000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
3.300000000000000e-02	8.000000e-01	3.300000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
3.400000000000000e-02	8.000000e-01	3.400000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
3.500000000000000e-02	8.000000e-01	3.500000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
3.600000000000000e-02	8.000000e-01	3.600000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
3.700000000000000e-02	8.000000e-01	3.700000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
3.800000000000000e-02	8.000000e-01	3.800000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
3.900000000000000e-02	8.000000e-01	3.900000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
4.000000000000000e-02	8.000000e-01	4.000000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
4.100000000000000e-02	8.000000e-01	4.100000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
4.200000000000000e-02	8.000000e-01	4.200000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
4.300000000000000e-02	8.000000e-01	4.300000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
4.400000000000000e-02	8.000000e-01	4.400000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
4.500000000000000e-02	8.000000e-01	4.500000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
4.600000000000000e-02	8.000000e-01	4.600000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
4.700000000000000e-02	8.000000e-01	4.700000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
4.800000000000000e-02	8.000000e-01	4.800000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
4.900000000000000e-02	8.000000e-01	4.900000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
5.000000000000000e-02	8.000000e-01	5.000000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
5.100000000000000e-02	8.000000e-01	5.100000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
5.200000000000000e-02	8.000000e-01	5.200000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
5.300000000000000e-02	8.000000e-01	5.300000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
5.400000000000000e-02	8.000000e-01	5.400000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
5.500000000000000e-02	8.000000e-01	5.500000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
5.600000000000000e-02	8.000000e-01	5.600000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
