alpha,m_W_final,m_Vk,m_Wstar,grassmann_dist,gamma_theoretical,positive_margin
0.001,-8.04911296809989,3.063413842909912,3.6999999999999975,2.4175187109016014,3.6593770870029867e-06,False
0.030408662900188326,-10.691557238854308,0.8576576491547139,3.6999999999999975,2.4566118061067552,0.0001089188659654044,False
0.05981732580037665,-8.35992392813547,1.2092757930099043,3.6999999999999975,2.4598220321260063,0.00020961763894355548,False
0.08922598870056497,-9.406516433173824,1.32367189168346,3.6999999999999975,2.5830201447038874,0.00030575569602145624,False
0.1186346516007533,-9.509426860097253,0.4742101207336045,3.6999999999999975,2.5136974055865613,0.00039733303719910674,False
0.14804331450094163,-9.662502373426266,0.40421665225483444,3.6999999999999975,2.6292336144968775,0.00048434966247650683,False
0.17745197740112995,-8.908968974292216,1.5445232612883286,3.6999999999999975,2.591552642719906,0.0005668055718536566,False
0.2068606403013183,-9.23677649089558,2.414439857410169,3.6999999999999975,2.4823815121419837,0.0006447007653305563,False
0.2362693032015066,-8.613123211343147,0.6923146688852959,3.6999999999999975,2.3303042121147817,0.0007180352429072054,False
0.2656779661016949,-9.274395670205784,2.7709471706363473,3.6999999999999975,2.542990507028165,0.0007868090045836042,False
0.29508662900188326,-10.83545149940461,0.5211215009312771,3.6999999999999975,2.6971415322386845,0.0008510220503597528,False
0.3244952919020716,-9.364433592286971,2.0758537645042128,3.6999999999999975,2.3853358828349425,0.0009106743802356511,False
0.3539039548022599,-8.25778073844618,3.2246521425341452,3.6999999999999975,2.378842935034132,0.000965765994211299,False
0.38331261770244823,-9.070687916493585,1.4698686161815004,3.6999999999999975,2.5987982622391668,0.0010162968922866967,False
0.4127212806026366,-9.457847615115416,0.5876320187688628,3.6999999999999975,2.59481477680823,0.001062267074461844,False
0.44212994350282486,-10.228425122377855,2.309101088401715,3.6999999999999975,2.5344211563199837,0.001103676540736741,False
0.4715386064030132,-9.102990959615642,1.7279012058753922,3.6999999999999975,2.427902429156692,0.0011405252911113875,False
0.5009472693032015,-10.270368671951962,1.1936333772036076,3.6999999999999975,2.455030369781844,0.001172813325585784,False
0.5303559322033898,-9.195975518522003,1.5236895077688934,3.6999999999999975,2.501697921905995,0.00120054064415993,False
0.5597645951035782,-9.577627098249302,1.2039274514042213,3.6999999999999975,2.559210709877013,0.0012237072468338256,False
0.5891732580037665,-10.715887899311568,1.2570018567424046,3.6999999999999975,2.469587145953988,0.0012423131336074715,False
0.6185819209039548,-9.636004060160008,2.7018386852087772,3.6999999999999975,2.4715626016248113,0.001256358304480866,False
0.6479905838041432,-8.911043590297956,0.6839877864441442,3.6999999999999975,2.41290007539586,0.001265842759454011,False
0.6773992467043315,-9.987644676334108,0.4626941446479284,3.6999999999999975,2.5818160720166574,0.0012707664985269053,False
0.7068079096045198,-8.927135646996254,1.7558421078933752,3.6999999999999975,2.4975709032294784,0.0012711295216995496,False
0.7362165725047082,-9.883351219937293,1.2792943098819105,3.6999999999999975,2.5664732127883725,0.0012669318289719434,False
0.7656252354048965,-8.172550822745498,1.4220182368729433,3.6999999999999975,2.5210096957698265,0.001258173420344087,False
0.7950338983050848,-9.408173474376243,0.7125994288897399,3.6999999999999975,2.6670839665842427,0.0012448542958159805,False
0.8244425612052732,-11.369992884657915,1.2961848101017088,3.6999999999999975,2.508841381251146,0.001226974455387623,False
0.8538512241054614,-9.590327145908628,1.4054360773406231,3.6999999999999975,2.509710218129217,0.0012045338990590159,False
0.8832598870056497,-9.568478896273579,1.7020312616886553,3.6999999999999975,2.6273039406410295,0.0011775326268301579,False
0.9126685499058381,-10.560883174402099,0.2521691591344019,3.6999999999999975,2.5868364228580485,0.00114597063870105,False
0.9420772128060264,-10.006659574483967,1.1818452146273732,3.6999999999999975,2.596889679507177,0.0011098479346716913,False
0.9714858757062147,-9.050402909653043,3.203966583500014,3.6999999999999975,2.44706553288211,0.0010691645147420828,False
1.000894538606403,-7.172780647706716,2.783138658455489,3.6999999999999975,2.4343304676547004,0.0010239203789122234,False
1.0303032015065914,-9.344502961351727,1.3934030677088591,3.6999999999999975,2.5346497943375628,0.0009741155271821142,False
1.0597118644067796,-10.799724998829024,0.9315411836243845,3.6999999999999975,2.577799878086184,0.000919749959551755,False
1.089120527306968,-8.792262757954592,2.7037653059803763,3.6999999999999975,2.5184862664117422,0.0008608236760211455,False
1.1185291902071564,-9.719778781927918,1.5210944514661358,3.6999999999999975,2.551426622095983,0.0007973366765902847,False
1.1479378531073445,-9.13069635865703,1.2668019700126216,3.6999999999999975,2.65429940596068,0.0007292889612591741,False
1.177346516007533,-10.192028446860034,1.0868138387293491,3.6999999999999975,2.6312913168755316,0.0006566805300278135,False
1.2067551789077213,-10.076713538216463,1.2665688540662707,3.6999999999999975,2.62289162451767,0.0005795113828962022,False
1.2361638418079095,-8.987116431764658,1.2365025385038693,3.6999999999999975,2.5373695887557277,0.0004977815198643409,False
1.265572504708098,-10.758102157558474,0.9269527552685466,3.6999999999999975,2.5461645648029205,0.00041149094093222843,False
