corruption_fraction,accuracy_mean,accuracy_std,meets_95pct_target
0.0,0.5602199999999999,0.00022715633383200648,False
0.02,0.5602500000000001,0.00018841443681414698,False
0.04,0.56023,0.00018193405398659563,False
0.06,0.5601800000000001,0.0002181742422927147,False
0.08,0.5602600000000001,0.00026153393661242135,False
0.1,0.5601300000000001,0.00023895606290697175,False
0.12,0.56036,0.00018547236990989365,False
0.14,0.5602800000000001,0.00019390719429663181,False
0.16,0.56016,0.00020591260281973677,False
0.18,0.5602400000000001,0.0002059126028197173,False
0.2,0.5603200000000002,0.00019390719429663181,False
0.22,0.5603100000000001,0.00020469489490456465,False
0.24,0.56017,0.00021236760581593928,False
0.26,0.5602,0.0002280350850198317,False
0.28,0.56026,0.00021071307505705583,False
0.3,0.56036,0.0002059126028197173,False
0.32,0.56029,0.00023216373532486412,False
0.34,0.5601700000000001,0.00029171904291629244,False
0.36,0.5602600000000001,0.00017999999999998014,False
0.38,0.5602299999999999,0.00025514701644346145,False
0.4,0.5603300000000001,0.0002027313493271106,False
0.42,0.5602600000000001,0.00012806248474864286,False
0.44,0.5602000000000001,0.00023664319132397734,False
0.46,0.56016,0.00028000000000000485,False
0.48,0.56027,0.00023043437243604417,False
0.5,0.5603,0.00023237900077243133,False
